Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
str_GreenAlien,Little Green Man,Little Green Man,Malý zelený mužíček,Kleines grünes Männchen,Маленький зелёный человечек,Mały zielony ludzik,Kis zöld emberke,Omino verde,Hombrecillo verde,Petit homme vert,小綠人,リトル・グリーン・マン,Homenzinho verde,小绿人
str_GreenAlienDesc,A hostile extraterrestrial stranded far from home.,A hostile extraterrestrial stranded far from home.,Nepřátelský mimozemšťan uvízlý daleko od domova.,Ein feindseliger Außerirdischer fern seiner Heimat.,Враждебный пришелец застрял вдали от дома.,Wrogi kosmita uwięziony daleko od domu.,Egy ellenséges földönkívüli messze rekedt az otthonától.,Un extraterrestre ostile bloccato lontano da casa.,Un extraterrestre hostil varado lejos de casa.,Un extraterrestre hostile échoué loin de chez lui.,一名受困於遙遠異鄉的敵對外星人。,故郷から遠く離れた場所に取り残された敵対的な異星人。,Um extraterrestre hostil preso longe de casa.,一名被困在遥远异乡的敌对外星人。
str_GreenAlienMeat,Area 51 Steak,Area 51 Steak,Steak z Oblasti 51,Area-51-Steak,Стейк из Зоны 51,Stek ze Strefy 51,51-es körzeti steak,Bistecca dell'Area 51,Filete del Área 51,Steak de la Zone 51,51 區牛排,エリア51ステーキ,Bife da Área 51,51区牛排
str_GreenAlienMeatDesc,Meat harvested from an extraterrestrial. Is it safe to eat?,Meat harvested from an extraterrestrial. Is it safe to eat?,Maso získané z mimozemšťana. Je bezpečné ho jíst?,Fleisch eines Außerirdischen. Kann man es gefahrlos essen?,Мясо внеземного существа. Безопасно ли его есть?,Mięso pozyskane z kosmity. Czy można je bezpiecznie zjeść?,Egy földönkívüliből nyert hús. Vajon biztonságos megenni?,Carne ricavata da un extraterrestre. Sarà sicura da mangiare?,Carne obtenida de un extraterrestre. ¿Será seguro comerla?,Viande prélevée sur un extraterrestre. Est-elle comestible sans danger ?,從外星生物身上取得的肉。食用安全嗎？,異星人から採取した肉。食べても安全なのだろうか？,Carne retirada de um extraterrestre. Será seguro comê-la?,从外星生物身上取得的肉。食用安全吗？
str_GreenAlienSkin,Roswell Hide,Roswell Hide,Roswellská kůže,Roswell-Haut,Розуэлльская шкура,Skóra z Roswell,Roswell-bőr,Pelle di Roswell,Piel de Roswell,Peau de Roswell,羅斯威爾皮革,ロズウェルの皮,Pele de Roswell,罗斯威尔皮革
str_GreenAlienSkinDesc,A strange hide taken from an extraterrestrial creature.,A strange hide taken from an extraterrestrial creature.,Podivná kůže získaná z mimozemského tvora.,Eine seltsame Haut von einer außerirdischen Kreatur.,Странная шкура внеземного существа.,Dziwna skóra pozyskana z pozaziemskiego stworzenia.,Egy földönkívüli lényről lenyúzott különös bőr.,Una strana pelle ricavata da una creatura extraterrestre.,Una piel extraña obtenida de una criatura extraterrestre.,Une peau étrange prélevée sur une créature extraterrestre.,從外星生物身上剝下的奇異皮革。,異星生物から剥ぎ取った奇妙な皮。,Uma pele estranha retirada de uma criatura extraterrestre.,从外星生物身上剥下的奇异皮革。
str_geb_PlasmaCartridge,Montauk Cartridge,Montauk Cartridge,Náboj Montauk,Montauk-Magazin,Магазин «Монток»,Magazynek Montauk,Montauk tár,Caricatore Montauk,Cargador Montauk,Chargeur Montauk,蒙托克彈匣,モントーク・マガジン,Carregador Montauk,蒙托克弹匣
str_geb_PlasmaCartridgeDesc,Advanced plasma ammunition for the Montauk Rifle.,Advanced plasma ammunition for the Montauk Rifle.,Pokročilé plazmové střelivo pro pušku Montauk.,Fortschrittliche Plasmamunition für das Montauk-Gewehr.,Усовершенствованные плазменные боеприпасы для винтовки «Монток».,Zaawansowana amunicja plazmowa do karabinu Montauk.,Fejlett plazmalőszer a Montauk puskához.,Munizioni al plasma avanzate per il fucile Montauk.,Munición de plasma avanzada para el rifle Montauk.,Munitions au plasma avancées pour le fusil Montauk.,供蒙托克步槍使用的先進等離子彈藥。,モントーク・ライフル用の先進的なプラズマ弾薬。,Munição de plasma avançada para o Rifle Montauk.,供蒙托克步枪使用的先进等离子弹药。
STR_geb_PlasmaRifle,Montauk Rifle,Montauk Rifle,Puška Montauk,Montauk-Gewehr,Винтовка «Монток»,Karabin Montauk,Montauk puska,Fucile Montauk,Rifle Montauk,Fusil Montauk,蒙托克步槍,モントーク・ライフル,Rifle Montauk,蒙托克步枪
STR_geb_PlasmaRifleDesc,An experimental rifle powered by plasma technology.,An experimental rifle powered by plasma technology.,Experimentální puška poháněná plazmovou technologií.,Ein experimentelles Gewehr mit Plasmatechnologie.,Экспериментальная винтовка на основе плазменной технологии.,Eksperymentalny karabin wykorzystujący technologię plazmową.,Plazmatechnológiával működő kísérleti puska.,Un fucile sperimentale alimentato da tecnologia al plasma.,Un rifle experimental impulsado por tecnología de plasma.,Un fusil expérimental alimenté par une technologie plasma.,採用等離子技術的實驗型步槍。,プラズマ技術で作動する試作ライフル。,Um rifle experimental alimentado por tecnologia de plasma.,采用等离子技术的实验型步枪。
